REPORTE DE IA — FASE 8
report_id,d1288b8a-6e8a-4b73-9200-a60a3ce2d062
generated_at,2026-06-07T22:30:37.877446+00:00
model,KNN-classification v1.0.0

RESUMEN
total_predictions,successful,failed,avg_confidence
3000,3000,0,0.7823

PREDICCIONES
id,prediction,confidence_score,status,latency_ms
0,0,0.7199,success,0.0
1,0,0.7302,success,0.0
2,0,0.7222,success,0.0
3,0,1.0,success,0.0
4,0,1.0,success,0.0
5,0,1.0,success,0.0
6,1,0.5766,success,0.0
7,0,0.5538,success,0.0
8,0,0.8547,success,0.0
9,0,1.0,success,0.0
10,0,0.8478,success,0.0
11,0,0.6082,success,0.0
12,1,0.5796,success,0.0
13,0,1.0,success,0.0
14,0,0.8673,success,0.0
15,0,1.0,success,0.0
16,1,0.6648,success,0.0
17,0,0.5656,success,0.0
18,0,0.6773,success,0.0
19,0,0.7461,success,0.0
20,0,0.8683,success,0.0
21,0,0.7371,success,0.0
22,0,1.0,success,0.0
23,0,0.8052,success,0.0
24,0,0.8562,success,0.0
25,1,0.6158,success,0.0
26,0,0.5996,success,0.0
27,0,0.7224,success,0.0
28,1,0.5681,success,0.0
29,0,0.8133,success,0.0
30,0,0.5946,success,0.0
31,0,0.7092,success,0.0
32,0,0.8426,success,0.0
33,1,0.5838,success,0.0
34,0,0.6406,success,0.0
35,0,0.6822,success,0.0
36,0,0.8436,success,0.0
37,0,0.5802,success,0.0
38,0,0.6996,success,0.0
39,0,1.0,success,0.0
40,0,0.6903,success,0.0
41,0,0.8501,success,0.0
42,0,0.7115,success,0.0
43,1,0.532,success,0.0
44,0,0.7268,success,0.0
45,0,1.0,success,0.0
46,0,0.8604,success,0.0
47,0,0.9055,success,0.0
48,0,0.5819,success,0.0
49,0,0.5682,success,0.0
50,0,0.6708,success,0.0
51,0,0.5609,success,0.0
52,0,0.7349,success,0.0
53,0,1.0,success,0.0
54,1,0.7159,success,0.0
55,0,0.5711,success,0.0
56,0,0.6731,success,0.0
57,0,0.6986,success,0.0
58,0,0.872,success,0.0
59,0,0.8619,success,0.0
60,0,1.0,success,0.0
61,1,0.7317,success,0.0
62,0,0.8673,success,0.0
63,0,0.7091,success,0.0
64,0,0.8596,success,0.0
65,0,0.6693,success,0.0
66,0,0.7262,success,0.0
67,0,0.7246,success,0.0
68,1,0.5357,success,0.0
69,0,0.7076,success,0.0
70,0,1.0,success,0.0
71,0,0.7176,success,0.0
72,0,0.8727,success,0.0
73,0,0.8641,success,0.0
74,0,0.6099,success,0.0
75,0,0.8737,success,0.0
76,0,0.6934,success,0.0
77,0,0.7371,success,0.0
78,0,0.8422,success,0.0
79,0,0.7242,success,0.0
80,0,0.5856,success,0.0
81,0,0.6983,success,0.0
82,0,0.7116,success,0.0
83,0,0.5689,success,0.0
84,0,0.7254,success,0.0
85,0,0.6871,success,0.0
86,0,0.6785,success,0.0
87,0,0.7195,success,0.0
88,1,0.5594,success,0.0
89,0,0.6928,success,0.0
90,1,0.5871,success,0.0
91,0,0.7303,success,0.0
92,0,1.0,success,0.0
93,0,0.8655,success,0.0
94,0,1.0,success,0.0
95,0,0.5923,success,0.0
96,0,0.5618,success,0.0
97,0,0.8514,success,0.0
98,0,0.8626,success,0.0
99,0,0.7345,success,0.0
100,0,0.8539,success,0.0
101,0,0.7595,success,0.0
102,0,0.7095,success,0.0
103,0,1.0,success,0.0
104,0,0.728,success,0.0
105,1,1.0,success,0.0
106,0,0.8546,success,0.0
107,0,0.5651,success,0.0
108,0,1.0,success,0.0
109,0,0.7239,success,0.0
110,0,1.0,success,0.0
111,0,0.7046,success,0.0
112,0,0.6595,success,0.0
113,0,0.6973,success,0.0
114,0,0.7209,success,0.0
115,0,0.7632,success,0.0
116,0,1.0,success,0.0
117,0,0.6948,success,0.0
118,0,0.8199,success,0.0
119,0,0.8504,success,0.0
120,1,0.5708,success,0.0
121,0,0.7338,success,0.0
122,0,0.5259,success,0.0
123,0,0.7494,success,0.0
124,0,1.0,success,0.0
125,0,0.8821,success,0.0
126,0,1.0,success,0.0
127,0,1.0,success,0.0
128,0,0.8489,success,0.0
129,0,0.873,success,0.0
130,0,0.5907,success,0.0
131,0,1.0,success,0.0
132,0,0.7762,success,0.0
133,0,0.7921,success,0.0
134,0,0.8654,success,0.0
135,0,0.8466,success,0.0
136,0,0.8497,success,0.0
137,0,0.5584,success,0.0
138,0,0.7083,success,0.0
139,0,0.8442,success,0.0
140,0,1.0,success,0.0
141,0,0.7288,success,0.0
142,1,0.6012,success,0.0
143,0,0.8523,success,0.0
144,0,0.8575,success,0.0
145,0,0.7222,success,0.0
146,0,0.8579,success,0.0
147,0,1.0,success,0.0
148,0,0.8624,success,0.0
149,0,0.5857,success,0.0
150,0,0.8377,success,0.0
151,0,0.8748,success,0.0
152,0,0.7288,success,0.0
153,0,1.0,success,0.0
154,0,0.8432,success,0.0
155,0,0.5756,success,0.0
156,0,0.5581,success,0.0
157,0,0.5977,success,0.0
158,0,0.9052,success,0.0
159,0,1.0,success,0.0
160,1,0.8758,success,0.0
161,0,0.857,success,0.0
162,1,0.7808,success,0.0
163,0,0.6896,success,0.0
164,0,0.8572,success,0.0
165,0,1.0,success,0.0
166,0,0.7118,success,0.0
167,0,0.7236,success,0.0
168,0,0.5388,success,0.0
169,1,0.6438,success,0.0
170,0,1.0,success,0.0
171,0,0.7036,success,0.0
172,0,0.8728,success,0.0
173,0,0.727,success,0.0
174,0,0.8369,success,0.0
175,1,0.578,success,0.0
176,1,0.5758,success,0.0
177,0,0.849,success,0.0
178,0,0.5549,success,0.0
179,0,1.0,success,0.0
180,0,0.5818,success,0.0
181,0,0.858,success,0.0
182,1,0.5665,success,0.0
183,0,0.5597,success,0.0
184,0,1.0,success,0.0
185,0,0.8722,success,0.0
186,0,1.0,success,0.0
187,0,0.8581,success,0.0
188,1,0.6562,success,0.0
189,0,1.0,success,0.0
190,0,0.848,success,0.0
191,0,0.6944,success,0.0
192,0,0.8666,success,0.0
193,0,0.7365,success,0.0
194,0,0.8414,success,0.0
195,0,0.7149,success,0.0
196,0,0.8664,success,0.0
197,0,0.724,success,0.0
198,0,0.8628,success,0.0
199,0,0.8681,success,0.0
200,0,0.8062,success,0.0
201,0,1.0,success,0.0
202,0,0.8722,success,0.0
203,0,0.6948,success,0.0
204,0,0.7079,success,0.0
205,0,1.0,success,0.0
206,0,0.9063,success,0.0
207,1,0.5685,success,0.0
208,0,0.8735,success,0.0
209,0,0.7462,success,0.0
210,0,0.8642,success,0.0
211,0,0.8598,success,0.0
212,0,0.572,success,0.0
213,0,0.8953,success,0.0
214,1,0.5793,success,0.0
215,1,0.556,success,0.0
216,0,0.8388,success,0.0
217,0,0.8898,success,0.0
218,0,0.8792,success,0.0
219,0,0.857,success,0.0
220,0,0.7366,success,0.0
221,1,0.8388,success,0.0
222,0,0.8596,success,0.0
223,0,0.542,success,0.0
224,1,0.5628,success,0.0
225,1,0.6574,success,0.0
226,0,0.8668,success,0.0
227,0,0.8438,success,0.0
228,0,0.861,success,0.0
229,0,1.0,success,0.0
230,1,0.5408,success,0.0
231,0,0.6009,success,0.0
232,0,0.7268,success,0.0
233,0,0.855,success,0.0
234,0,0.7187,success,0.0
235,0,0.8609,success,0.0
236,0,0.7413,success,0.0
237,0,0.7582,success,0.0
238,0,0.5576,success,0.0
239,1,0.5523,success,0.0
240,0,0.5621,success,0.0
241,0,1.0,success,0.0
242,0,0.8725,success,0.0
243,0,1.0,success,0.0
244,0,0.7355,success,0.0
245,0,1.0,success,0.0
246,0,0.5447,success,0.0
247,1,0.5426,success,0.0
248,0,0.6031,success,0.0
249,0,0.5055,success,0.0
250,0,0.7251,success,0.0
251,0,0.7281,success,0.0
252,0,0.869,success,0.0
253,0,0.7409,success,0.0
254,0,1.0,success,0.0
255,0,0.6049,success,0.0
256,0,0.7184,success,0.0
257,0,0.8477,success,0.0
258,0,0.845,success,0.0
259,0,1.0,success,0.0
260,0,0.7774,success,0.0
261,0,1.0,success,0.0
262,0,0.7079,success,0.0
263,0,0.5625,success,0.0
264,0,0.603,success,0.0
265,0,1.0,success,0.0
266,0,0.5717,success,0.0
267,0,0.8513,success,0.0
268,0,1.0,success,0.0
269,0,1.0,success,0.0
270,0,0.8702,success,0.0
271,0,0.8547,success,0.0
272,1,0.6806,success,0.0
273,0,0.7275,success,0.0
274,1,0.5829,success,0.0
275,0,0.8975,success,0.0
276,0,1.0,success,0.0
277,1,0.6713,success,0.0
278,0,0.6004,success,0.0
279,0,1.0,success,0.0
280,0,0.7139,success,0.0
281,1,0.6788,success,0.0
282,0,0.7218,success,0.0
283,1,0.5258,success,0.0
284,0,1.0,success,0.0
285,0,0.7175,success,0.0
286,1,0.5448,success,0.0
287,0,0.7382,success,0.0
288,1,0.5916,success,0.0
289,0,0.7167,success,0.0
290,0,0.7144,success,0.0
291,0,0.714,success,0.0
292,1,0.5483,success,0.0
293,0,1.0,success,0.0
294,0,0.8741,success,0.0
295,1,0.653,success,0.0
296,0,0.901,success,0.0
297,0,0.7088,success,0.0
298,0,0.7084,success,0.0
299,0,0.544,success,0.0
300,0,1.0,success,0.0
301,0,0.9015,success,0.0
302,0,0.9253,success,0.0
303,0,0.8667,success,0.0
304,0,0.6304,success,0.0
305,0,0.6892,success,0.0
306,0,0.8506,success,0.0
307,0,0.7304,success,0.0
308,0,0.8629,success,0.0
309,0,1.0,success,0.0
310,0,1.0,success,0.0
311,0,0.8585,success,0.0
312,0,0.8717,success,0.0
313,0,0.861,success,0.0
314,0,0.6032,success,0.0
315,0,0.738,success,0.0
316,0,1.0,success,0.0
317,0,0.8614,success,0.0
318,0,0.8522,success,0.0
319,0,0.5767,success,0.0
320,0,0.5787,success,0.0
321,0,0.7352,success,0.0
322,0,0.6862,success,0.0
323,0,1.0,success,0.0
